IP,connection,Status,AS_num,AS_name,host
185.41.104.3,2,Intermediate,201709.0,"HANDS, DE",xe-0-0-1-0.rtr02.ham01.hanseds.net
185.41.104.166,2,Intermediate,201709.0,"HANDS, DE",atlas-anchor.ham01.hanseds.net
64.125.29.13,1,Intermediate,6461.0,"ZAYO-6461, US",ae7.mpr1.lga243.us.zip.zayo.com
208.184.23.255,1,Intermediate,6461.0,"ZAYO-6461, US",NA
206.147.177.244,1,Intermediate,40160.0,"NEUTRAL-TANDEM, US",NA
206.144.4.4,1,Intermediate,5006.0,"VOYANT, US",NA
80.81.194.121,1,Intermediate,,,Ti9006b400.ti.telenor.net
146.172.105.82,1,Intermediate,2119.0,"TELENOR-NEXTEL Telenor Norge AS, NO",ti3003c400-ae14-0.ti.telenor.net
146.172.105.22,1,Intermediate,2119.0,"TELENOR-NEXTEL Telenor Norge AS, NO",ti3218b400-ae1-0.ti.telenor.net
148.122.9.26,1,Intermediate,2119.0,"TELENOR-NEXTEL Telenor Norge AS, NO",NA
77.214.52.97,1,Intermediate,9158.0,"TELENOR_DANMARK_AS, DK",NA
77.214.52.98,1,Intermediate,9158.0,"TELENOR_DANMARK_AS, DK",NA
2001:1610:46:ef00:c24a:ff:fea0:430,1,sender,9008.0,"ASN-VO Visual Online S.A. Luxembourg, LU",NA
2001:1610:46:ef00:eadf:70ff:fe88:b8f5,1,Intermediate,9008.0,"ASN-VO Visual Online S.A. Luxembourg, LU",NA
2001:1610:0:d::1,1,Intermediate,9008.0,"ASN-VO Visual Online S.A. Luxembourg, LU",NA
2001:1610:0:c::4,1,Intermediate,9008.0,"ASN-VO Visual Online S.A. Luxembourg, LU",NA
2001:7f8:4c::1b1b:1,1,Intermediate,,,AS6939.members.lu-cix.lu
2001:470:0:3a7::1,1,Intermediate,6939.0,"HURRICANE, US",100ge8-1.core1.fra1.he.net
2001:470:0:3fd::1,3,Intermediate,6939.0,"HURRICANE, US",100ge5-1.core1.zrh2.he.net
2001:1600:0:ff::1e,3,Intermediate,29222.0,"INFOMANIAK-AS, CH",NA
2001:1600::906,3,Intermediate,29222.0,"INFOMANIAK-AS, CH",bdb-cr01.net.infomaniak.ch
2001:1600::11,3,Intermediate,29222.0,"INFOMANIAK-AS, CH",cl-d1-1.net.infomaniak.ch
2001:1600:4:5::1,4,Intermediate,29222.0,"INFOMANIAK-AS, CH",NA
2001:1600:4:9:f816:3eff:feee:a1d4,1,Intermediate,29222.0,"INFOMANIAK-AS, CH",od-6d987f.infomaniak.ch
80.90.42.80,1,sender,9008.0,"ASN-VO Visual Online S.A. Luxembourg, LU",ppp-334.vo.lu
192.168.178.1,1,Intermediate,,,NA
80.90.46.143,1,Intermediate,9008.0,"ASN-VO Visual Online S.A. Luxembourg, LU",NA
213.166.61.145,1,Intermediate,6661.0,"EPT-LU Entreprise des P. et T. Luxembourg, LU",NA
213.135.247.2,1,Intermediate,6661.0,"EPT-LU Entreprise des P. et T. Luxembourg, LU",NA
184.105.80.37,2,Intermediate,6939.0,"HURRICANE, US",100ge6-1.core1.lon2.he.net
